tournament_year,match_id,minute,stoppage_minute,display_minute,player,team,opponent,stage,stage_group,is_knockout,is_penalty,is_own_goal
1982,M-1982-41,75,0,75,Billy Hamilton,Northern Ireland,Austria,second group stage,Group,false,false,false
1982,M-1982-42,48,0,48,Khoren Hovhannisyan,Soviet Union,Belgium,second group stage,Group,false,false,false
1982,M-1982-43,11,0,11,not applicable Zico,Brazil,Argentina,second group stage,Group,false,false,false
1982,M-1982-43,66,0,66,not applicable Serginho,Brazil,Argentina,second group stage,Group,false,false,false
1982,M-1982-43,75,0,75,not applicable Júnior,Brazil,Argentina,second group stage,Group,false,false,false
1982,M-1982-43,89,0,89,Ramón Díaz,Argentina,Brazil,second group stage,Group,false,false,false
1982,M-1982-44,50,0,50,Pierre Littbarski,West Germany,Spain,second group stage,Group,false,false,false
1982,M-1982-44,75,0,75,Klaus Fischer,West Germany,Spain,second group stage,Group,false,false,false
1982,M-1982-44,82,0,82,Jesús María Zamora,Spain,West Germany,second group stage,Group,false,false,false
1982,M-1982-45,33,0,33,Alain Giresse,France,Northern Ireland,second group stage,Group,false,false,false
1982,M-1982-45,46,0,46,Dominique Rocheteau,France,Northern Ireland,second group stage,Group,false,false,false
1982,M-1982-45,68,0,68,Dominique Rocheteau,France,Northern Ireland,second group stage,Group,false,false,false
1982,M-1982-45,75,0,75,Gerry Armstrong,Northern Ireland,France,second group stage,Group,false,false,false
1982,M-1982-45,80,0,80,Alain Giresse,France,Northern Ireland,second group stage,Group,false,false,false
1982,M-1982-47,5,0,5,Paolo Rossi,Italy,Brazil,second group stage,Group,false,false,false
1982,M-1982-47,12,0,12,not applicable Sócrates,Brazil,Italy,second group stage,Group,false,false,false
1982,M-1982-47,25,0,25,Paolo Rossi,Italy,Brazil,second group stage,Group,false,false,false
1982,M-1982-47,68,0,68,not applicable Falcão,Brazil,Italy,second group stage,Group,false,false,false
1982,M-1982-47,74,0,74,Paolo Rossi,Italy,Brazil,second group stage,Group,false,false,false
1982,M-1982-49,22,0,22,Paolo Rossi,Italy,Poland,semi-finals,Semi-final,true,false,false
1982,M-1982-49,73,0,73,Paolo Rossi,Italy,Poland,semi-finals,Semi-final,true,false,false
1982,M-1982-50,17,0,17,Pierre Littbarski,West Germany,France,semi-finals,Semi-final,true,false,false
1982,M-1982-50,26,0,26,Michel Platini,France,West Germany,semi-finals,Semi-final,true,true,false
1982,M-1982-50,92,0,92,Marius Trésor,France,West Germany,semi-finals,Semi-final,true,false,false
1982,M-1982-50,98,0,98,Alain Giresse,France,West Germany,semi-finals,Semi-final,true,false,false
1982,M-1982-50,102,0,102,Karl-Heinz Rummenigge,West Germany,France,semi-finals,Semi-final,true,false,false
1982,M-1982-50,108,0,108,Klaus Fischer,West Germany,France,semi-finals,Semi-final,true,false,false
1982,M-1982-51,13,0,13,René Girard,France,Poland,third-place match,Third-place,true,false,false
1982,M-1982-51,40,0,40,Andrzej Szarmach,Poland,France,third-place match,Third-place,true,false,false
1982,M-1982-51,44,0,44,Stefan Majewski,Poland,France,third-place match,Third-place,true,false,false
1982,M-1982-51,46,0,46,Janusz Kupcewicz,Poland,France,third-place match,Third-place,true,false,false
1982,M-1982-51,72,0,72,Alain Couriol,France,Poland,third-place match,Third-place,true,false,false
1982,M-1982-52,57,0,57,Paolo Rossi,Italy,West Germany,final,Final,true,false,false
1982,M-1982-52,69,0,69,Marco Tardelli,Italy,West Germany,final,Final,true,false,false
1982,M-1982-52,81,0,81,Alessandro Altobelli,Italy,West Germany,final,Final,true,false,false
1982,M-1982-52,83,0,83,Paul Breitner,West Germany,Italy,final,Final,true,false,false
1986,M-1986-01,44,0,44,Alessandro Altobelli,Italy,Bulgaria,group stage,Group,false,false,false
1986,M-1986-01,85,0,85,Nasko Sirakov,Bulgaria,Italy,group stage,Group,false,false,false
1986,M-1986-02,62,0,62,not applicable Sócrates,Brazil,Spain,group stage,Group,false,false,false
1986,M-1986-03,79,0,79,Jean-Pierre Papin,France,Canada,group stage,Group,false,false,false
1986,M-1986-04,6,0,6,Jorge Valdano,Argentina,South Korea,group stage,Group,false,false,false
1986,M-1986-04,18,0,18,Oscar Ruggeri,Argentina,South Korea,group stage,Group,false,false,false
1986,M-1986-04,46,0,46,Jorge Valdano,Argentina,South Korea,group stage,Group,false,false,false
1986,M-1986-04,73,0,73,Chang-sun Park,South Korea,Argentina,group stage,Group,false,false,false
1986,M-1986-05,2,0,2,Pavel Yakovenko,Soviet Union,Hungary,group stage,Group,false,false,false
1986,M-1986-05,4,0,4,Sergei Aleinikov,Soviet Union,Hungary,group stage,Group,false,false,false
1986,M-1986-05,24,0,24,Ihor Belanov,Soviet Union,Hungary,group stage,Group,false,true,false
